Notes,Species name,Order name,Family name,Accession number,Oskar presence,Protein annotations,GeneBank annotations,GFF3 annotations,Genomic fasta file,RNA fasta file,TO DO
,Danaus plexippus,Lepidoptera,Nymphalidae,GCA_000235995.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Heliconius timareta,Lepidoptera,Nymphalidae,GCA_001486705.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius cydno hermogenes,Lepidoptera,Nymphalidae,GCA_001510915.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius timareta ssp. NG-2008,Lepidoptera,Nymphalidae,GCA_001486645.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius ismenius metaphorus,Lepidoptera,Nymphalidae,GCA_001485725.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius numata arcuella,Lepidoptera,Nymphalidae,GCA_001486725.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius pardalinus ssp. JD-2011,Lepidoptera,Nymphalidae,GCA_001486605.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius ethilla,Lepidoptera,Nymphalidae,GCA_001485905.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius hecale felix,Lepidoptera,Nymphalidae,GCA_001486125.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius melpomene melpomene,Lepidoptera,Nymphalidae,GCA_000326025.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius elevatus,Lepidoptera,Nymphalidae,GCA_001486085.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius timareta ssp. JD-2011,Lepidoptera,Nymphalidae,GCA_001486685.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Melitaea cinxia,Lepidoptera,Nymphalidae,GCA_000716385.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Lerema accius,Lepidoptera,Hesperiidae,GCA_001278395.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Plutella xylostella,Lepidoptera,Plutellidae,GCA_000325945.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Operophtera brumata,Lepidoptera,Geometridae,GCA_001266575.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Chilo suppressalis,Lepidoptera,Crambidae,GCA_000636095.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,,,,,,,,,,,
,Dendroctonus ponderosae,Coleoptera,Curculionidae,GCA_000346045.2,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Hypothenemus hampei,Coleoptera,Curculionidae,GCA_001012855.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Oryctes borbonicus,Coleoptera,Scarabaeidae,GCA_001443705.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Onthophagus taurus,Coleoptera,Scarabaeidae,GCA_000648695.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Tribolium castaneum,Coleoptera,Tenebrionidae,GCA_000002335.3,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,GCA_000500325.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anoplophora glabripennis,Coleoptera,Cerambycidae,GCA_000390285.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Agrilus planipennis,Coleoptera,Buprestidae,GCA_000699045.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Priacma serrata,Coleoptera,Cupedidae,GCA_000281835.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Nicrophorus vespilloides,Coleoptera,Silphidae,GCA_001412225.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Aethina tumida,Coleoptera,Nitidulidae,GCA_001937115.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,,,,,,,,,,,
Use as HMM model,Timema cristinae,Phasmatodea,Timematidae,GCA_002009905.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use as HMM model,Locusta migratoria,Orthoptera,Acrididae,GCA_000516895.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use as HMM model,Ladona fulva,Odonata,Libellulidae,GCA_000376725.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
